year    anonymous   user
2019	298.163	    137.679
2018	291.038	    129.159
2017	298.339	    126.734
2016	308.292	    121.343
2015	294.556	    124.086
2014	280.228	    126.239
2013	332.040	    123.035
2012	361.354	    129.914
2011	394.328	    141.673
2010	470.203	    139.915
2009	502.417	    151.197
2008	548.901	    157.215
2007	553.305	    168.725
2006	382.249	    116.203
2005	137.585	    30.175
2004	31.596	    2.091
2003	6.462	    1.646
2002	1.944	    0.400
2001	0.278	    0.152
